Designator,Footprint,Quantity,Value,JLC #
"C1, C117, C2",603,3,100n,C1591
"C101, C102",603,2,10n,C1589
C105,402,1,0.33u,C107013 
C106,402,1,0.01u,C15195
"D1, D2",805,2,LED,C19171391
"D101, D102",D_SMA,2,D_Schottky,C8678
"K101, K102",Relay_SPDT_Omron_G2RL-1,2,Relay_SPDT_Omron_G2RL-1,C469130
"Q1, Q2",TO-252-2,2,NMOS, C2889156
"Q101, Q102, Q107, Q108",SOT-523_Custom(C96676),4,Q_PMOS_GSD,C96676
"Q103, Q104, Q105, Q106",SOT-23,4,Q_NPN_BEC,C2146
"R1, R105, R106, R2, R5, R6",805,6,10k,C17590
"R101, R108, R109, R111, R113",805,5,1K,C17513
R102,805,1,2.2K,C17520
"R103, R104, R110, R112",805,4,100k,C149504
"R3, R4",805,2,270,C17590
"SW101, SW102",SW_SPST_Omron_B3FS-100xP,2,SW_Omron_B3FS,C271750
U107,TO-220-3_Vertical,1,LM7805_TO220,C71107
"U3, U4",SOT-23-5,2,74AHC1G00,C350556
