Designator,Mid X,Mid Y,Rotation,Layer
C1,37.3625,-8.5,180,top
C101,13.5,-24.5,0,top
C102,61.1375,-23,0,top
C105,50,-40,270,top
C106,57.02,-30.5,0,top
C117,40,-14.3625,270,top
C2,32.5,-8.5,0,top
D1,20,-18.5,90,top
D101,28.1625,-29.84,180,top
D102,42.1625,-29.84,180,top
D2,52.5,-15.5,90,top
K101,28.225,-46.0525,90,top
K102,42.0375,-46.015,90,top
Q1,26.5,-21.5,90,top
Q101,17.645,-3,180,top
Q102,50.645,-2.5,0,top
Q103,6.5,-26.5,180,top
Q104,18.5,-24.9375,270,top
Q105,55.5625,-26.05,180,top
Q106,66.5,-26,180,top
Q107,20.5,-2.855,270,top
Q108,48,-2.5,0,top
Q2,43.45,-21.1,90,top
R1,28.5,-10,270,top
R101,23,-1,270,top
R102,45.5,-2,270,top
R103,2,-22,270,top
R104,52,-20,270,top
R105,5,-22,90,top
R106,54.5,-20,90,top
R108,7.5,-22.5,270,top
R109,58,-22,270,top
R110,13.5,-22,0,top
R111,17.5,-22,0,top
R112,65.5,-22,270,top
R113,68,-22,270,top
R2,41,-10,270,top
R3,24.5,-14.5,270,top
R4,41.975,-14.3025,270,top
R5,20,-5,0,top
R6,49.5,-0.5,0,top
SW101,11.5,-17,0,top
SW102,62,-16.5,0,top
U107,53.96,-35,0,top
U3,37.425,-12.165,90,top
U4,32.525,-12.165,90,top
